词汇,类别
祸不单行,生存痛苦
抑制不住,生存痛苦
头晕目眩,风险因素
手足无措,风险因素
筋疲力尽,风险因素
孤身一人,风险因素
空落落,风险因素
恼怒,生存痛苦
碰壁,生存痛苦
因果报应,生存痛苦
堵得慌,风险因素
不能自已,风险因素
烦忧,风险因素
NMD,生存痛苦
本不该,生存痛苦
凌辱,生存痛苦
恸,风险因素
被抛弃了,生存痛苦
烦燥,负面情绪
cancer,风险因素
氧化钙,生存痛苦
自伤,自杀方式
怒火中烧,生存痛苦
火坑,自杀意图
想发泄,生存痛苦
委曲求全,生存痛苦
晕晕乎乎,风险因素
浑身无力,风险因素
纵身,自杀方式
绷紧,生存痛苦
闷闷不乐,风险因素
烂货,生存痛苦
郁郁寡欢,风险因素
没骨气,负面情绪
头昏眼花          ,风险因素
阴阴的,自杀意图
神经错乱,生存痛苦
孬种,负面情绪
自怨自艾,负面情绪
焦灼,风险因素
厌食症,生存痛苦
坠机,生存痛苦
深恶痛绝,生存痛苦
安葬,生存痛苦
归西,自杀意图
不被理解,生存痛苦
六道轮回,自杀意图
隐痛,风险因素
悲苦,风险因素
心事重重,风险因素
十八层地狱,自杀意图
死不要脸,生存痛苦
追悔莫及,生存痛苦
濒死,自杀意图
bullshit,生存痛苦
烦扰,风险因素
黑暗面,自杀意图
痴心妄想,生存痛苦
我真的受伤了,生存痛苦
心有余而力不足,负面情绪
下葬,自杀意图
坟地,自杀意图
愁苦,风险因素
举步维艰,生存痛苦
无力回天,生存痛苦
苛责,生存痛苦
累瘫,风险因素
悔不当初,生存痛苦
精疲力竭,风险因素
哀痛,风险因素
万丈深渊,自杀意图
割伤,自杀方式
窝囊废,负面情绪
流年不利,生存痛苦
自甘堕落,生存痛苦
前列腺癌,风险因素
万般无奈,生存痛苦
MBD,生存痛苦
赔罪,生存痛苦
不肖,生存痛苦
爱太深,生存痛苦
毁于一旦,生存痛苦
困乏,风险因素
失魂落魄,风险因素
灵堂,自杀意图
切肤之痛,风险因素
形单影只,风险因素
恶性肿瘤,风险因素
强装,生存痛苦
心惊胆颤,风险因素
我对不起我,生存痛苦
干呕,风险因素
NMLGB,生存痛苦
焦躁不安,风险因素
LOSER,生存痛苦
烦乱,负面情绪
不用在意,自杀意图
给我安慰,生存痛苦
乳癌,风险因素
功亏一篑,生存痛苦
TMB,生存痛苦
bored,生存痛苦
TND,生存痛苦
过敏症,风险因素
玉石俱焚,生存痛苦
心烦气躁,负面情绪
歉疚,生存痛苦
过世的,生存痛苦
你不要走,生存痛苦
悲恸,风险因素
病来如山倒,风险因素
回想过去,生存痛苦
怅惘,风险因素
夺眶而出,风险因素
直肠癌,风险因素
betray,生存痛苦
死不足惜,自杀意图
怄气,生存痛苦
焦虑不安,风险因素
尼玛比,生存痛苦
枯燥无味,生存痛苦
始乱终弃,生存痛苦
无依无靠,风险因素
流食,风险因素
脑瘤          ,风险因素
孤立无援,风险因素
凄清,风险因素
日子难过,风险因素
泪如泉涌,风险因素
绝望地,生存痛苦
被人嫌弃,生存痛苦
心闷,风险因素
黑暗之中,自杀意图
忧思,风险因素
没兴致,生存痛苦
大小便失禁,风险因素
西方极乐世界,自杀意图
暗淡无光,生存痛苦
nervous,风险因素
心如刀绞,风险因素
fuckfuckfuckfuck,生存痛苦
不如人意,生存痛苦
挫折感,生存痛苦
不见天日,生存痛苦
凄苦,风险因素
盗汗,风险因素
习惯孤独,风险因素
失语症,风险因素
神经紧张,生存痛苦
灵柩,自杀意图
父亲去世,生存痛苦
mlgbd,生存痛苦
恹恹,风险因素
无力挽回,生存痛苦
白发人送黑发人,生存痛苦
没乐趣,生存痛苦
命途多舛,生存痛苦
头好重,风险因素
想躲起来,风险因素
毫无办法,生存痛苦
茶饭不思,风险因素
没精打采,风险因素
安歇,自杀意图
累了累了,自杀意图
不可终日,风险因素
sad,风险因素
凄楚,风险因素
一命呜呼,自杀意图
黯淡无光,风险因素
不在人世,自杀意图
灰心丧气,生存痛苦
心肌炎,风险因素
惶惶不可终日,风险因素
丧礼,生存痛苦
昏昏噩噩,风险因素
冷血无情,生存痛苦
羞愤,生存痛苦
生死轮回,自杀意图
生命轮回,自杀意图
胃穿孔,风险因素
CNMB,生存痛苦
凄冷,风险因素
负心人,生存痛苦
一切皆空,自杀意图
slut,生存痛苦
如鲠在喉,风险因素
惶惶不安,风险因素
骨癌,风险因素
安静的世界,自杀意图
没着没落,风险因素
晕晕沉沉,风险因素
白费力气,生存痛苦
悔过书,生存痛苦
不孝之子,生存痛苦
恐慌情绪,风险因素
没怎么吃东西,生存痛苦
高压力,生存痛苦
成事不足败事有余,负面情绪
剧烈疼痛,风险因素
TMMD,生存痛苦
爸爸去世,生存痛苦
黄梁一梦,风险因素
愁闷,风险因素
自轻自贱,负面情绪
味同嚼蜡,生存痛苦
极乐净土,自杀意图
不肖子孙,生存痛苦
人世沧桑,自杀意图
节节败退,自杀意图
CNMLGB,生存痛苦
frustrated,风险因素
极度紧张,生存痛苦
quiet,自杀意图
畏难,负面情绪
亡故,生存痛苦
泄恨,生存痛苦
茫然无措,生存痛苦
悲观失望,风险因素
有口难言,风险因素
亏欠的,生存痛苦
化为泡影,生存痛苦
WTF,生存痛苦
哀恸,风险因素
爱到尽头,生存痛苦
黑暗角落,自杀意图
离群索居,风险因素
肾癌,风险因素
忿恨,生存痛苦
suffering,风险因素
存在于世,自杀意图
Sorry,自杀意图
Betrayal,生存痛苦
形影相吊,风险因素
someday,自杀意图
悲愁,风险因素
郁郁不得志,生存痛苦
愁云惨淡,风险因素
西方净土,自杀意图
心神恍惚,风险因素
艾滋,风险因素
Mgb,生存痛苦
